                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 13:04:24    -9819.443926       0.0502
BFGSLineSearch:    1[  3] 15:05:38    -9819.462391       0.0168
BFGSLineSearch:    2[  5] 16:26:42    -9819.464166       0.0076
BFGSLineSearch:    3[  6] 16:57:02    -9819.465116       0.0121
BFGSLineSearch:    4[  8] 18:15:26    -9819.465517       0.0090
BFGSLineSearch:    5[ 10] 19:25:28    -9819.465978       0.0064
BFGSLineSearch:    6[ 12] 20:33:56    -9819.466296       0.0040
BFGSLineSearch:    7[ 13] 21:09:48    -9819.466486       0.0038
BFGSLineSearch:    8[ 15] 22:11:58    -9819.466580       0.0040
BFGSLineSearch:    9[ 17] 23:52:20    -9819.466710       0.0025
BFGSLineSearch:   10[ 19] 01:00:10    -9819.466737       0.0015
BFGSLineSearch:   11[ 21] 02:17:13    -9819.466757       0.0004
BFGSLineSearch:   12[ 22] 02:47:33    -9819.466758       0.0000
