                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 02:48:20    -9003.703111       0.0872
BFGSLineSearch:    1[  2] 04:14:13    -9003.725372       0.0497
BFGSLineSearch:    2[  3] 04:55:31    -9003.732700       0.0394
BFGSLineSearch:    3[  6] 07:01:47    -9003.736879       0.0424
BFGSLineSearch:    4[  9] 09:03:57    -9003.743098       0.0260
BFGSLineSearch:    5[ 11] 10:30:52    -9003.745388       0.0262
BFGSLineSearch:    6[ 13] 11:55:03    -9003.751837       0.0143
BFGSLineSearch:    7[ 14] 12:36:01    -9003.752891       0.0173
BFGSLineSearch:    8[ 17] 14:31:25    -9003.753400       0.0180
BFGSLineSearch:    9[ 20] 16:27:22    -9003.754224       0.0160
BFGSLineSearch:   10[ 23] 18:21:57    -9003.755047       0.0175
BFGSLineSearch:   11[ 25] 19:40:13    -9003.756322       0.0165
BFGSLineSearch:   12[ 27] 20:56:06    -9003.757795       0.0174
BFGSLineSearch:   13[ 30] 22:52:11    -9003.758147       0.0150
BFGSLineSearch:   14[ 33] 01:08:59    -9003.759322       0.0152
BFGSLineSearch:   15[ 35] 02:24:39    -9003.762292       0.0256
BFGSLineSearch:   16[ 37] 03:40:39    -9003.764942       0.0171
BFGSLineSearch:   17[ 39] 05:02:22    -9003.767627       0.0111
BFGSLineSearch:   18[ 42] 07:02:45    -9003.768085       0.0124
BFGSLineSearch:   19[ 44] 08:22:07    -9003.769368       0.0101
BFGSLineSearch:   20[ 45] 09:02:11    -9003.769664       0.0085
