                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 06:45:28    -9005.765226       0.0793
BFGSLineSearch:    1[  2] 07:45:02    -9005.779236       0.0451
BFGSLineSearch:    2[  3] 08:10:30    -9005.782323       0.0278
BFGSLineSearch:    3[  6] 09:29:04    -9005.783524       0.0265
BFGSLineSearch:    4[  9] 10:50:44    -9005.785367       0.0214
BFGSLineSearch:    5[ 12] 12:09:54    -9005.786626       0.0287
BFGSLineSearch:    6[ 14] 13:02:41    -9005.788995       0.0174
BFGSLineSearch:    7[ 17] 14:32:26    -9005.790579       0.0154
BFGSLineSearch:    8[ 20] 16:00:07    -9005.791083       0.0114
BFGSLineSearch:    9[ 23] 17:19:54    -9005.791710       0.0097
