                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:38:47    -4090.419032       0.0574
BFGSLineSearch:    1[  2] 13:08:20    -4090.425465       0.0293
BFGSLineSearch:    2[  3] 13:23:23    -4090.427491       0.0382
BFGSLineSearch:    3[  5] 13:53:19    -4090.429776       0.0418
BFGSLineSearch:    4[  7] 14:20:31    -4090.432082       0.0111
BFGSLineSearch:    5[ 10] 15:04:45    -4090.432845       0.0074
BFGSLineSearch:    6[ 12] 15:34:22    -4090.432979       0.0076
BFGSLineSearch:    7[ 14] 16:03:35    -4090.433309       0.0083
BFGSLineSearch:    8[ 16] 16:32:50    -4090.433501       0.0156
BFGSLineSearch:    9[ 18] 17:04:15    -4090.434243       0.0072
BFGSLineSearch:   10[ 19] 17:18:01    -4090.434404       0.0050
BFGSLineSearch:   11[ 21] 17:47:40    -4090.434482       0.0035
BFGSLineSearch:   12[ 23] 18:16:55    -4090.434547       0.0032
BFGSLineSearch:   13[ 25] 18:47:17    -4090.434566       0.0015
BFGSLineSearch:   14[ 26] 19:03:05    -4090.434577       0.0014
BFGSLineSearch:   15[ 28] 19:32:25    -4090.434586       0.0019
BFGSLineSearch:   16[ 31] 20:14:00    -4090.434625       0.0033
BFGSLineSearch:   17[ 34] 20:57:28    -4090.434639       0.0021
BFGSLineSearch:   18[ 36] 21:25:18    -4090.434672       0.0009
BFGSLineSearch:   19[ 37] 21:41:42    -4090.434674       0.0006
BFGSLineSearch:   20[ 40] 22:24:11    -4090.434675       0.0007
BFGSLineSearch:   21[ 43] 23:05:19    -4090.434676       0.0004
BFGSLineSearch:   22[ 85] 06:22:16    -4090.434676       0.0000
