                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 14:45:39   -15552.679983       0.0889
BFGSLineSearch:    1[  3] 20:10:23   -15552.775718       0.0819
BFGSLineSearch:    2[  6] 01:38:08   -15552.843336       0.0826
BFGSLineSearch:    3[  8] 05:11:12   -15552.864443       0.0686
BFGSLineSearch:    4[ 10] 08:47:54   -15552.913601       0.0558
BFGSLineSearch:    5[ 11] 10:30:06   -15552.920929       0.0641
BFGSLineSearch:    6[ 13] 14:02:32   -15552.929398       0.0444
BFGSLineSearch:    7[ 15] 17:30:30   -15552.938859       0.0260
BFGSLineSearch:    8[ 17] 21:01:26   -15552.944321       0.0137
